,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other
baseplate_40,0.01,0.01,8.01,0.22,0.11,0.00,0.30,1.16,0.00,0.00,0.18
baseplate_41,3.06,0.00,2.88,0.00,0.19,0.06,0.80,1.60,0.00,0.45,0.95
baseplate_42,2.22,0.02,3.54,1.39,0.15,0.12,0.13,0.04,0.00,0.13,2.26
baseplate_43,2.08,0.01,1.12,0.03,0.01,0.13,0.07,0.00,0.00,0.16,6.38
baseplate_44,2.71,0.01,2.74,1.62,0.24,0.09,0.15,0.02,0.00,0.13,2.28
baseplate_45,4.00,0.01,0.18,0.00,0.00,0.30,0.01,0.01,0.00,0.08,5.41
baseplate_46,1.88,0.00,0.25,0.00,0.00,0.24,0.01,0.01,0.00,0.09,7.51
baseplate_47,0.46,0.01,1.12,0.02,0.01,0.20,0.02,0.00,0.00,0.13,8.02
baseplate_48,1.53,0.00,0.70,0.00,0.00,0.33,0.01,0.00,0.00,0.06,7.36
baseplate_49,0.93,0.01,2.06,0.00,0.01,0.33,0.05,0.01,0.00,0.26,6.34
baseplate_50,1.25,0.00,0.44,0.00,0.00,0.43,0.02,0.00,0.00,0.12,7.73
baseplate_51,1.00,0.01,0.19,0.00,0.00,0.04,0.00,0.00,0.00,0.30,8.44
baseplate_52,0.41,0.00,4.00,0.01,0.03,0.09,0.03,0.01,0.00,0.60,4.82
baseplate_53,0.94,0.01,0.38,0.00,0.01,0.23,0.04,0.00,0.00,0.47,7.92
baseplate_54,2.50,0.00,0.11,0.02,0.04,0.32,0.03,0.00,0.00,0.29,6.68
baseplate_55,3.93,0.01,0.24,0.00,0.03,0.27,0.03,0.00,0.00,0.02,5.46
baseplate_56,2.95,0.01,3.44,0.06,0.02,0.07,0.06,0.05,0.01,0.22,3.11
baseplate_57,2.65,0.01,2.72,1.81,0.28,0.08,0.18,0.02,0.00,0.11,2.14
baseplate_58,0.87,0.01,5.19,0.15,0.07,0.09,0.07,0.07,0.01,0.19,3.27
baseplate_59,2.18,0.01,4.37,0.06,0.02,0.10,0.08,0.10,0.01,0.17,2.90
baseplate_60,0.55,0.00,0.42,0.00,0.00,0.52,0.02,0.00,0.00,0.08,8.40
baseplate_61,0.45,0.02,2.25,0.00,0.00,0.19,0.02,0.01,0.00,0.41,6.65
baseplate_62,3.53,0.00,1.61,0.92,0.19,0.06,0.20,2.28,0.00,0.01,1.21
baseplate_63,2.65,0.00,5.42,0.31,0.22,0.01,0.16,0.41,0.00,0.00,0.82
baseplate_64,3.36,0.00,2.89,0.02,0.01,0.31,0.34,0.02,0.00,1.44,1.61
baseplate_65,0.04,0.00,5.33,0.68,0.61,0.07,0.46,0.00,0.01,0.66,2.15
baseplate_66,0.00,0.00,0.07,0.15,0.00,0.00,0.01,0.00,0.00,4.37,5.39
baseplate_67,0.03,0.00,0.04,0.00,0.00,0.00,0.09,0.00,0.00,3.10,6.73
baseplate_68,0.73,0.00,0.18,0.00,0.07,0.14,0.04,0.01,0.00,1.87,6.95
baseplate_69,0.00,0.00,1.38,0.00,0.00,0.00,0.03,0.01,0.00,1.87,6.70
baseplate_70,0.04,0.00,0.03,0.00,0.00,0.01,0.10,0.00,0.00,2.50,7.32
baseplate_71,0.01,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,2.99,6.96
baseplate_72,0.02,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,4.10,5.85
baseplate_73,1.57,0.00,0.03,0.01,0.00,0.02,0.01,0.00,0.00,0.15,8.21
baseplate_74,0.01,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,3.57,6.37
baseplate_75,0.01,0.00,0.08,0.00,0.00,0.00,0.02,0.00,0.00,3.22,6.66
baseplate_76,0.19,0.00,0.27,0.01,0.06,0.09,0.02,0.06,0.00,2.42,6.89
baseplate_77,0.02,0.00,0.46,0.01,0.05,0.05,0.07,0.50,0.00,3.68,5.15
baseplate_78,0.01,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,3.44,6.50
baseplate_79,0.03,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.00,3.18,6.73
baseplate_80,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,3.54,6.40
baseplate_81,0.02,0.00,0.04,0.00,0.00,0.01,0.03,0.00,0.00,3.09,6.80
baseplate_82,0.05,0.00,1.04,0.00,0.17,0.09,0.08,0.01,0.00,5.78,2.78
baseplate_83,0.01,0.00,0.08,0.00,0.00,0.00,0.01,0.00,0.00,4.68,5.22
baseplate_84,0.01,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,4.60,5.35
baseplate_85,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,4.49,5.45
baseplate_86,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,3.68,6.27
baseplate_87,0.01,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,3.50,6.43
baseplate_88,0.05,0.00,0.04,0.00,0.00,0.02,0.03,0.00,0.00,3.06,6.79
baseplate_89,0.01,0.00,0.08,0.00,0.00,0.00,0.01,0.00,0.00,3.59,6.30
baseplate_90,0.09,0.00,0.35,0.03,0.01,0.01,0.00,0.03,0.00,2.33,7.15
baseplate_91,0.07,0.00,0.42,0.03,0.01,0.02,0.00,0.03,0.00,2.39,7.01
baseplate_92,0.10,0.00,0.60,0.04,0.01,0.01,0.00,0.05,0.00,2.66,6.52
baseplate_93,0.09,0.00,0.34,0.03,0.01,0.02,0.00,0.04,0.00,2.34,7.14
baseplate_94,0.01,0.01,0.06,0.00,0.00,0.02,0.00,0.00,0.00,0.01,9.89
baseplate_95,0.01,0.01,0.24,0.00,0.09,0.02,0.08,0.00,0.00,4.34,5.19
baseplate_96,0.03,0.00,0.10,0.00,0.00,0.00,0.12,0.00,0.00,2.18,7.57
baseplate_97,0.73,0.00,7.80,0.04,0.00,0.19,0.00,0.01,0.00,0.01,1.21
baseplate_98,0.49,0.00,8.43,0.00,0.00,0.01,0.05,0.03,0.00,0.08,0.91
baseplate_99,0.96,0.00,7.39,0.00,0.00,0.03,0.00,0.49,0.00,0.01,1.12
baseplate_100,1.01,0.00,7.64,0.00,0.00,0.00,0.00,0.17,0.00,0.01,1.16
baseplate_101,0.23,0.00,7.41,0.01,0.00,0.14,0.01,0.38,0.00,0.16,1.66
baseplate_102,0.01,0.00,8.46,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.52
baseplate_103,1.22,0.00,7.40,0.00,0.00,0.01,0.00,0.32,0.00,0.00,1.05
baseplate_104,1.22,0.00,7.80,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.96
baseplate_105,2.69,0.00,5.73,0.01,0.00,0.00,0.00,0.07,0.00,0.01,1.49
baseplate_106,0.02,0.00,9.26,0.09,0.00,0.00,0.00,0.02,0.00,0.00,0.61
baseplate_107,0.46,0.00,8.11,0.02,0.00,0.01,0.35,0.00,0.00,0.01,1.03
baseplate_108,0.03,0.00,8.18,0.00,0.00,0.00,0.24,0.03,0.00,0.03,1.48
baseplate_109,0.12,0.00,7.31,0.00,0.00,0.14,0.01,0.58,0.00,0.19,1.65
baseplate_110,0.03,0.00,8.39,0.65,0.00,0.00,0.06,0.00,0.00,0.00,0.87
baseplate_111,1.10,0.00,7.85,0.01,0.00,0.03,0.00,0.00,0.00,0.00,1.00
baseplate_112,1.31,0.00,6.82,0.03,0.00,0.00,0.78,0.00,0.00,0.03,1.03
baseplate_113,0.00,0.00,8.42,0.00,0.00,0.00,0.52,0.00,0.00,0.01,1.05
baseplate_114,0.02,0.00,8.75,0.00,0.00,0.00,0.02,0.79,0.00,0.01,0.40
baseplate_115,0.29,0.00,7.62,0.00,0.00,0.14,0.00,0.30,0.00,0.07,1.58
baseplate_116,0.04,0.00,8.86,0.03,0.00,0.01,0.11,0.00,0.00,0.00,0.96
baseplate_117,0.02,0.00,8.22,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.75
baseplate_118,0.28,0.00,7.90,0.00,0.00,0.01,0.09,0.14,0.00,0.06,1.51
baseplate_119,0.17,0.00,8.51,0.03,0.00,0.00,0.04,0.00,0.00,0.15,1.10
baseplate_120,1.66,0.00,5.62,0.02,0.00,0.00,1.15,0.35,0.00,0.01,1.17
baseplate_121,0.01,0.00,9.00,0.02,0.00,0.01,0.08,0.00,0.00,0.00,0.89
baseplate_122,0.31,0.00,7.68,0.00,0.01,0.02,0.82,0.00,0.00,0.01,1.14
baseplate_123,1.21,0.00,7.12,0.00,0.01,0.02,0.00,0.06,0.00,0.30,1.29
baseplate_124,0.57,0.00,6.89,0.00,0.00,0.01,0.00,0.07,0.00,0.72,1.74
baseplate_125,0.95,0.00,1.75,0.12,3.14,0.13,0.49,1.87,0.00,0.04,1.50
baseplate_126,4.77,0.00,0.19,0.00,0.20,0.01,3.49,0.31,0.00,0.00,1.02
baseplate_127,0.01,0.03,0.17,2.61,1.45,0.64,4.15,0.01,0.03,0.01,0.88
baseplate_128,7.14,0.00,0.66,0.37,0.02,0.26,0.13,0.10,0.00,0.02,1.30
baseplate_129,4.15,0.00,1.34,0.46,0.01,0.62,0.36,1.66,0.00,0.10,1.31
baseplate_130,9.55,0.00,0.15,0.01,0.00,0.01,0.00,0.00,0.00,0.04,0.23
baseplate_131,9.57,0.00,0.00,0.17,0.00,0.00,0.02,0.02,0.00,0.00,0.20
baseplate_132,0.84,0.00,4.02,0.25,0.05,0.12,1.79,0.11,0.00,0.48,2.34
baseplate_133,1.87,0.00,2.50,0.01,0.03,0.48,0.01,3.57,0.00,0.53,1.01
baseplate_134,7.36,0.00,2.52,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.09
baseplate_135,0.11,0.00,0.04,1.89,0.06,0.05,0.01,0.11,0.00,0.20,7.52
baseplate_136,7.56,0.00,0.48,0.25,0.00,0.03,0.01,0.51,0.00,0.05,1.12
baseplate_137,0.86,0.05,0.59,0.33,0.10,0.02,0.21,0.02,0.74,0.02,7.05
baseplate_138,0.01,0.00,7.01,0.79,0.00,0.00,1.18,0.00,0.00,0.00,1.00
baseplate_139,2.63,0.00,3.09,2.08,0.76,0.03,0.19,0.01,0.00,0.03,1.18
baseplate_140,1.21,0.05,5.61,0.03,0.04,0.23,0.35,0.17,0.01,1.17,1.13
baseplate_141,4.03,0.00,4.37,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.55
baseplate_142,4.72,0.00,0.01,0.00,0.06,0.11,0.55,0.00,0.01,0.02,4.52
baseplate_143,0.01,0.01,6.20,1.06,1.19,0.01,1.14,0.00,0.00,0.00,0.37
baseplate_144,1.24,0.53,4.82,0.56,0.62,0.01,0.20,0.06,0.00,0.36,1.60
baseplate_145,0.61,0.03,7.93,0.06,0.00,0.00,0.26,0.01,0.00,0.00,1.10
baseplate_146,0.17,0.15,8.77,0.15,0.07,0.00,0.14,0.02,0.00,0.11,0.42
baseplate_147,1.81,0.00,4.58,0.00,0.14,0.01,2.43,0.00,0.00,0.00,1.02
baseplate_148,0.02,0.00,7.23,0.09,0.95,0.00,1.29,0.00,0.00,0.00,0.41
baseplate_149,0.03,0.00,7.24,0.03,0.96,0.00,1.19,0.00,0.00,0.00,0.56
baseplate_150,0.03,0.01,6.06,0.11,1.37,0.00,1.35,0.00,0.00,0.04,1.02
baseplate_151,0.01,0.01,7.98,0.01,0.97,0.00,0.81,0.00,0.00,0.00,0.20
baseplate_152,0.02,0.01,6.51,0.11,1.28,0.00,1.10,0.00,0.00,0.00,0.96
baseplate_153,0.04,0.01,5.69,0.12,1.57,0.00,1.59,0.00,0.00,0.04,0.95
baseplate_154,0.00,0.00,7.94,0.06,1.11,0.00,0.62,0.00,0.00,0.00,0.27
baseplate_155,0.03,0.01,5.93,0.15,1.33,0.00,1.55,0.00,0.00,0.03,0.96
baseplate_156,1.33,0.04,2.49,0.10,0.87,0.16,2.17,0.03,0.19,0.06,2.57
baseplate_157,0.05,0.01,7.42,0.03,0.11,0.01,1.30,0.00,0.00,0.00,1.06
baseplate_158,0.44,0.00,3.42,0.03,0.09,0.01,3.68,0.00,0.01,0.03,2.30
baseplate_159,0.03,0.01,6.63,0.18,1.31,0.00,0.76,0.00,0.00,0.01,1.08
baseplate_160,0.00,0.00,3.83,0.02,4.75,0.00,1.26,0.00,0.01,0.02,0.11
baseplate_161,2.06,0.00,4.46,0.00,0.39,0.03,1.55,0.00,0.00,0.01,1.50
baseplate_162,0.05,0.10,8.13,0.32,0.33,0.00,0.11,0.05,0.00,0.24,0.68
baseplate_163,0.06,0.00,3.46,0.31,2.96,0.01,2.23,0.00,0.01,0.02,0.94
baseplate_164,0.22,0.00,3.02,0.01,0.92,0.24,3.54,0.04,0.00,0.03,1.98
baseplate_165,0.07,0.00,3.86,0.16,2.99,0.00,1.66,0.00,0.01,0.03,1.20
baseplate_166,1.86,0.00,4.97,0.00,0.26,0.02,0.80,0.00,0.00,0.01,2.08
baseplate_167,0.31,0.02,8.78,0.33,0.07,0.00,0.13,0.03,0.00,0.01,0.31
baseplate_168,0.01,0.18,9.39,0.17,0.02,0.00,0.07,0.00,0.01,0.02,0.12
baseplate_169,3.29,0.00,2.92,0.00,0.49,0.03,1.30,0.01,0.01,0.03,1.91
baseplate_170,0.58,0.00,4.31,0.57,1.40,0.00,2.04,0.01,0.00,0.02,1.08
baseplate_171,0.09,0.01,3.50,0.32,3.34,0.01,1.95,0.00,0.01,0.03,0.74
baseplate_172,0.01,0.01,6.33,0.13,0.38,0.00,2.64,0.00,0.00,0.00,0.50
baseplate_173,0.03,0.01,2.45,0.07,3.15,0.01,2.52,0.05,0.02,0.07,1.61
baseplate_174,0.02,0.01,2.63,0.05,3.74,0.01,2.52,0.02,0.01,0.10,0.89
baseplate_175,1.43,0.00,1.43,0.48,1.42,0.00,4.88,0.01,0.01,0.01,0.32
baseplate_176,0.08,0.00,3.91,0.66,2.13,0.00,2.24,0.00,0.01,0.03,0.92
baseplate_177,0.59,0.00,3.15,0.27,1.34,0.00,4.18,0.00,0.01,0.01,0.45
baseplate_178,0.37,0.00,2.91,0.16,2.00,0.00,4.03,0.01,0.01,0.13,0.38
baseplate_179,0.08,0.00,4.31,0.55,2.14,0.00,2.20,0.00,0.01,0.02,0.69
baseplate_180,1.29,0.00,4.66,2.26,1.20,0.00,0.19,0.00,0.00,0.00,0.40
baseplate_181,0.89,0.10,4.84,0.06,1.14,0.10,1.24,0.01,0.11,0.39,1.12
baseplate_182,0.03,0.04,8.02,0.04,0.56,0.01,0.52,0.00,0.09,0.28,0.41
baseplate_183,0.91,0.05,4.08,0.08,0.74,0.11,1.82,0.04,0.19,0.05,1.93
baseplate_184,1.48,0.03,2.44,0.02,0.20,0.01,0.73,0.04,0.20,0.04,4.80
baseplate_185,0.81,0.14,4.38,0.11,1.32,0.07,1.31,0.01,0.09,0.77,1.00
baseplate_186,1.55,0.00,4.43,0.01,0.04,0.04,1.96,0.01,0.01,0.02,1.93
baseplate_187,0.82,0.01,6.87,0.15,0.11,0.00,0.87,0.00,0.01,0.02,1.14
baseplate_188,0.03,0.01,7.33,0.17,1.22,0.00,0.66,0.00,0.00,0.01,0.58
baseplate_189,0.16,0.03,5.91,0.12,1.14,0.03,1.08,0.00,0.00,0.00,1.53
baseplate_190,0.41,0.03,2.48,0.35,2.27,0.00,4.08,0.02,0.03,0.01,0.31
baseplate_191,0.00,0.01,5.77,0.07,0.85,0.00,2.57,0.00,0.00,0.01,0.71
baseplate_192,0.04,0.00,3.89,0.25,3.47,0.01,1.59,0.00,0.01,0.03,0.70
baseplate_193,0.17,0.00,2.43,0.27,3.64,0.01,2.65,0.00,0.01,0.09,0.72
baseplate_194,0.10,0.01,6.30,0.32,1.55,0.01,0.77,0.01,0.01,0.10,0.83
baseplate_195,0.05,0.01,5.92,0.21,1.50,0.00,1.33,0.00,0.00,0.01,0.97
baseplate_196,1.20,0.67,4.82,0.48,0.47,0.00,0.33,0.01,0.00,0.46,1.55
baseplate_197,0.31,0.22,8.45,0.28,0.11,0.01,0.09,0.02,0.01,0.09,0.43
baseplate_198,0.01,0.03,6.46,0.57,1.40,0.00,1.17,0.00,0.00,0.00,0.35
baseplate_199,0.00,0.00,7.91,0.88,0.85,0.00,0.27,0.00,0.00,0.00,0.08
baseplate_200,0.82,0.00,4.84,0.00,0.44,0.00,2.58,0.02,0.01,0.01,1.28
baseplate_201,0.26,0.00,6.26,0.00,0.28,0.00,2.04,0.00,0.00,0.00,1.15
baseplate_202,0.01,0.00,9.04,0.39,0.03,0.00,0.30,0.00,0.00,0.00,0.22
baseplate_203,1.15,0.00,3.90,0.01,0.34,0.02,3.23,0.01,0.00,0.02,1.31
baseplate_204,0.07,0.01,3.69,0.05,1.14,0.00,3.83,0.00,0.00,0.02,1.18
baseplate_205,0.02,0.01,6.84,0.06,0.18,0.00,2.30,0.00,0.00,0.01,0.58
baseplate_206,0.02,0.01,6.04,0.09,0.37,0.00,2.86,0.00,0.00,0.02,0.59
baseplate_207,3.02,0.00,4.54,0.00,0.07,0.05,1.32,0.01,0.00,0.01,0.98
baseplate_208,0.14,0.01,5.52,0.11,0.14,0.01,3.36,0.00,0.02,0.01,0.68
baseplate_209,1.23,0.03,7.15,0.03,0.05,0.09,0.65,0.01,0.02,0.03,0.70
baseplate_210,5.76,0.00,1.39,0.00,0.09,0.03,0.20,0.17,0.00,2.14,0.22
baseplate_211,7.03,0.00,0.21,0.00,0.38,0.02,0.02,0.46,0.00,1.73,0.15
baseplate_212,5.22,0.00,0.16,0.00,0.75,0.03,0.01,0.06,0.00,3.48,0.28
baseplate_213,5.88,0.00,0.58,0.01,0.14,0.04,0.03,0.61,0.00,2.27,0.45
baseplate_214,4.93,0.00,1.08,0.00,0.05,0.05,0.03,1.28,0.00,2.43,0.16
baseplate_215,7.35,0.00,0.15,0.00,0.06,0.04,0.01,0.81,0.00,1.36,0.22
baseplate_216,6.97,0.00,0.14,0.00,0.12,0.06,0.01,0.68,0.00,1.85,0.17
baseplate_217,6.13,0.00,0.49,0.00,0.22,0.03,0.02,0.62,0.00,2.34,0.14
baseplate_218,6.07,0.00,1.19,0.00,0.11,0.01,0.16,0.10,0.00,2.13,0.22
baseplate_219,5.74,0.00,0.38,0.00,0.10,0.05,0.02,0.87,0.00,2.75,0.10
baseplate_220,6.37,0.00,0.54,0.00,0.19,0.05,0.01,0.59,0.00,2.14,0.10
baseplate_221,2.29,0.00,2.99,0.00,0.09,0.17,0.54,1.77,0.00,1.37,0.78
baseplate_222,2.55,0.00,2.12,0.00,0.10,0.29,0.33,2.58,0.00,0.93,1.09
baseplate_223,0.66,0.00,2.93,0.00,0.71,0.35,0.22,2.01,0.00,1.98,1.14
baseplate_224,2.16,0.00,2.81,0.00,0.21,0.18,0.33,2.22,0.00,1.09,0.99
baseplate_225,2.52,0.00,2.18,0.00,0.11,0.31,0.44,2.28,0.00,0.99,1.16
baseplate_226,2.13,0.00,2.82,0.00,0.18,0.21,0.35,2.13,0.00,1.15,1.04
baseplate_227,2.24,0.00,1.94,0.00,0.46,0.44,0.02,2.63,0.00,0.11,2.16
baseplate_228,3.01,0.00,3.27,0.01,0.03,0.12,0.03,1.68,0.00,0.24,1.61
baseplate_229,0.82,0.00,3.32,0.00,0.50,0.17,0.21,2.49,0.00,1.35,1.13
baseplate_230,4.41,0.00,0.09,0.00,0.82,0.09,0.18,0.12,0.00,2.06,2.23
baseplate_231,6.27,0.00,0.04,0.00,0.91,0.05,0.10,0.16,0.00,1.38,1.10
baseplate_232,6.31,0.00,1.10,0.00,0.12,0.01,0.13,0.10,0.00,1.97,0.26
baseplate_233,5.34,0.00,0.89,0.00,0.04,0.07,0.03,1.18,0.00,2.13,0.30
baseplate_234,1.80,0.00,3.05,0.00,0.35,0.37,0.28,2.30,0.00,1.03,0.82
baseplate_235,6.63,0.00,0.27,0.00,0.16,0.01,0.01,0.55,0.00,2.32,0.05
baseplate_236,4.10,0.00,0.10,0.00,0.91,0.09,0.17,0.37,0.00,2.07,2.20
baseplate_237,6.04,0.00,0.30,0.00,0.27,0.04,0.02,0.64,0.00,2.56,0.13
baseplate_238,2.15,0.00,0.66,0.05,0.05,1.85,0.01,1.61,0.00,2.01,1.60
baseplate_239,5.00,0.00,0.25,0.00,0.57,0.04,0.06,0.22,0.00,3.73,0.14
baseplate_240,2.68,0.00,0.31,0.00,1.11,0.15,0.19,1.16,0.00,1.70,2.69
baseplate_241,0.07,0.00,1.18,0.00,0.04,0.78,0.01,3.93,0.00,3.75,0.24
baseplate_242,0.43,0.01,6.55,0.18,0.02,1.24,0.04,0.46,0.00,0.19,0.88
baseplate_243,0.95,0.01,6.22,0.22,0.01,1.00,0.04,0.49,0.00,0.12,0.95
baseplate_244,0.40,0.01,6.35,0.13,0.03,1.32,0.04,0.65,0.00,0.25,0.82
baseplate_245,5.77,0.00,0.48,0.00,0.49,0.04,0.04,0.30,0.00,2.59,0.28
baseplate_246,6.53,0.00,0.08,0.00,0.17,0.03,0.01,0.78,0.00,2.29,0.10
baseplate_247,5.81,0.00,0.27,0.00,0.33,0.11,0.02,0.46,0.00,2.76,0.24
baseplate_248,6.11,0.00,0.34,0.00,0.39,0.06,0.01,0.44,0.00,2.51,0.13
baseplate_249,5.04,0.00,0.93,0.00,0.31,0.05,0.04,0.36,0.00,3.05,0.22
baseplate_250,6.41,0.00,0.08,0.00,0.20,0.03,0.00,0.73,0.00,2.48,0.06
baseplate_251,5.26,0.00,0.03,0.00,0.75,0.02,0.03,0.22,0.00,2.05,1.63
baseplate_252,1.89,0.00,1.13,0.00,0.30,0.33,0.03,1.07,0.00,4.27,0.98
baseplate_253,4.35,0.00,0.07,0.09,0.12,0.62,0.24,2.95,0.00,0.59,0.97
baseplate_254,0.90,0.00,2.55,0.00,0.91,0.48,0.03,1.12,0.00,3.60,0.42
baseplate_255,5.65,0.00,0.18,0.00,0.37,0.03,0.06,0.52,0.00,3.00,0.19
baseplate_256,6.66,0.00,0.58,0.00,0.20,0.04,0.05,0.35,0.00,1.87,0.25
baseplate_257,2.90,0.00,4.91,0.00,0.00,0.04,0.01,0.21,0.00,0.93,0.99
baseplate_258,6.12,0.00,1.45,0.00,0.10,0.00,0.13,0.05,0.00,1.81,0.33
baseplate_259,6.52,0.00,0.86,0.00,0.16,0.02,0.06,0.18,0.00,2.01,0.19
baseplate_260,6.06,0.00,0.32,0.00,0.47,0.03,0.05,0.33,0.00,2.51,0.24
baseplate_261,4.25,0.00,0.08,0.00,0.78,0.09,0.17,0.27,0.00,2.09,2.27
baseplate_262,3.18,0.00,2.87,0.00,0.03,0.06,0.46,1.38,0.00,1.38,0.63
baseplate_263,5.85,0.00,0.37,0.00,0.29,0.04,0.04,0.58,0.00,2.51,0.31
baseplate_264,5.03,0.00,1.02,0.00,0.20,0.04,0.05,0.81,0.00,2.53,0.31
baseplate_265,5.34,0.00,0.12,0.00,0.36,0.02,0.01,0.53,0.00,3.55,0.09
baseplate_266,6.27,0.00,0.40,0.00,0.06,0.05,0.01,0.93,0.00,2.18,0.09
baseplate_267,5.74,0.00,0.40,0.00,0.23,0.10,0.01,0.54,0.00,2.75,0.21
baseplate_268,6.94,0.00,0.05,0.00,0.08,0.18,0.02,0.56,0.00,1.64,0.52
baseplate_269,6.49,0.00,0.96,0.00,0.42,0.05,0.09,0.01,0.00,0.92,1.07
baseplate_270,5.07,0.00,0.39,0.00,0.11,0.06,0.03,0.87,0.00,3.35,0.12
baseplate_271,6.97,0.00,0.45,0.00,0.37,0.04,0.02,0.21,0.00,1.74,0.19
baseplate_272,4.96,0.00,0.39,0.00,0.40,0.08,0.01,0.31,0.00,3.67,0.17
